title,description,value
Preciso de alguém para melhorar o desempenho do meu site Wordpress ...,"Primeiramente, eu tenho um site wordpress onde coloquei em uma ferramenta de SEO e ele aplicou diversos erros a serem corrigidos para melhorar o posicionamento dele no google e para melhor usabilidade, queria corrigir todas essas coisas e queria adicionar backlinks, sitemap coisas assim que não... Ver mais detalhes  entendo muito bem, esse em si é o serviço que eu procuro, porém se o profissional for qualificado para mexer no site em outras coisas, talvez eu faça alterações a mais, preciso de ofertas e a que ficar mais em conta para essas primeiras mudanças eu contratareiCategoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Instalação/Configuração de pacoteIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs) colapsar",R$ 500 - 1.400
Melhoria e/ou Criação de um e-commerce,"Tenho um e-commerce e gostaria de melhorar a performance dele, está com um lentidão muito grande na navegação e inclusão de produtos no carrinho. Também é necessário a inclusão do SEO.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Alteração média... Ver mais detalhes Isso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc)Funções necessárias: Desenvolvedor colapsar",R$ 2.700 - 5.000
"Criar recursos no theme-child para customizar o site e loja, substi...","Corrigir menu da loja no mobile e desktop 
Aumentar textos e ícones no menu e rodapé do site e da loja 
Colocar numeração de itens no carrinho no ícone do menu da loja 
Alinhar itens do menu e rodapé com as sidebars do site e da loja
Corrigir o submenu categorias no menu do site
Criar design da... Ver mais detalhes  página inicial da loja
Criar um pop up quando o produto é adicionado ao carrinhoCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Cargo de longo prazoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Período integralExperiência nesse tipo de projeto: Sim (Eu já gerenciei esse tipo de projeto)Funções necessárias: Designer, Desenvolvedor, Fazer o design de uma landing page colapsar",R$ 270 - 500
Registrar posicionamento Gps,"Preciso salvar coordenadas gps no banco de dados.
Tenho um site inacabado que rastreia a localização GPS exata em dispositivos móveis e gera uma rota para o ponto de destino.
O que preciso é extrair as coordenadas gps da URL que é gerada e registrar no banco de da dos mysql com horário/data + ip.  ... Ver mais detalhes 
Acessando o link economizai.com/precos e clicando em ""ver endereço"" repare que o sistema ja pega sua localização atual.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Desenvolvedor Mobile,"Bom dia, 
Preciso realizar 03 melhorias em um aplicativo que foi desenvolvido em AngularJS, os painéis web em PHP e compilado com Ionic. 
O app é de usabilidade simples e poucas telas.Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?:... Ver mais detalhes  Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhoneEu preciso: Eu preciso modificar um app existenteTipo de aplicativo: OutroPrecisa de back-end: NãoGateway de pagamento: Não colapsar",R$ 1.400 - 2.700
Sanchesby,"Estou a procura de uma pessoa que possa mexer na minha loja virtual , no desenho geral e algumas configuracoes para poder colocar ela para funcionar, como por exemplo, selos de qualidade, links uteis, fale conosco, inclusao de mais de 1 item em cada seção etc, pois consegui desenvolver uma parte da... Ver mais detalhes  loja e falta essa outra que nao consigo fazer, meu orçamento e muito apertado e gostaria de receber sugestoes de valores menores do que foi proposto no inicio, caso seja bem sucedido o projeto farei mensalmente.
Obs: Dependendo do valor proposto precisarei iniciar a loja e vender para poder efetuar o pagto, caso seja algo em que penso poderei pagar tranquilo, acima do que pretendo entra na condição informada.
Espero que possam me ajudar.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce) colapsar",Menos de R$ 270
Personalizar loja shopify,"Estou a procura de uma pessoa que possa mexer na minha loja virtual , no desenho geral e algumas configuracoes para poder colocar ela para funcionar, como por exemplo, selos de qualidade, links uteis, fale conosco, inclusao de mais de 1 item em cada seção etc, pois consegui desenvolver uma parte da... Ver mais detalhes  loja e falta essa outra que nao consigo fazer, meu orçamento e muito apertado e gostaria de receber sugestoes de valores menores do que foi proposto no inicio, caso seja bem sucedido o projeto farei mensalmente.
Obs: Dependendo do valor proposto precisarei iniciar a loja e vender para poder efetuar o pagto, caso seja algo em que penso poderei pagar tranquilo, acima do que pretendo entra na condição informada.
Espero que possam me ajudar.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Designer colapsar",R$ 500 - 1.400
Melhoria em site Woocommerce,"Preciso de alguém com experiência em woocommerce para resolver alguns bugs recorrentes na calculadora de frete, e no filtro de produtos.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de... Ver mais detalhes  trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Desenvolvimento de site em Magento,"Necessito migrar meu site atual (woocommerce) para Magento, visto que as funcionalidades do Woocommerce estão me deixando na mão.
O magento é uma plataforma que me agradou pela possibilidade de desenvolver o SEO melhor e ter uma grande responsividade em todos os aparelhos.
Preciso de um site... Ver mais detalhes  totalmente funcional, excelente design/aparência, responsividade e que comporte algumas funcionalidades que descreverei posteriormente. 
É Uma loja infantil.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Criar uma nova loja onlineIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc), Outros (Outras APIs)Funções necessárias: Designer, Desenvolvedor colapsar",R$ 2.700 - 5.000
Revendo um sistema simples e intuitivo,"Instalamos um sistema para controle de estoque, vendas, caixa, financeiro, fiscal, gráficos e muito mais.. 
sistema completo e uma mensalidade que cabe no seu bolsoCategoria: TI e ProgramaçãoSubcategoria: Aplicativos desktopQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma... Ver mais detalhes  posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Plataformas exigidas: Windows colapsar",R$ 2.700 - 5.000
Chat bot para Whatsapp,"Chat bot de WhatsApp para meus clientes .
Precisa ter árvore de atendimento e módulo onde eu consiga gerenciar todos os clientes( lojas ) que usam o sistema , cada loja poderá ter vários usuários .
Cada loja usará seu número ( sua instância )para atendimento .Categoria: TI e ProgramaçãoSubcategoria:... Ver mais detalhes  ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",R$ 1.400 - 2.700
Programador em Curitiba,"Desenvolvedor Web Full-Stack Júnior/Pleno 
- Domínio de Frontend html/css/javascript, desejável vue.js.
- Experiência com programação backend, desejável Python, Java ou Golang.
- Desejável conhecimento básico de Linux para auxiliar no monitoramento/configuração Nginx e Postgresql.Categoria: TI e ProgramaçãoSubcategoria: Programação",Menos de R$ 50 / hora
Portal de Cotação de combustível de postos e avaliações,"Preciso desenvolver um portal, como se fosse um ""mapa"" de postos de combustível no brasil, onde o usuário consiga encontrar o mais próximo por distancia ou por algumas considerações em pesquisas, como por exemplo, o mais próximo que tenha loja conveniência, e assim por diante. E também o usuário do... Ver mais detalhes  app, poder avaliar os postos, atendimento, limpeza, entre outros.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Criar um novo site personalizadoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Desenvolvedor, Designer, Gerente de projetos, Analista de negócios colapsar",R$ 2.700 - 5.000
Teleorientação,"Plataforma de teleatendimento para meus pacientes em minha clínica. Para facilitar a atendimento de pacientes por aplicativo de pelo sistema Web .Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um... Ver mais detalhes  projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Designer, Desenvolvedor colapsar",R$ 1.400 - 2.700
Pequena Alteração Wordpress,"Boa tarde!
preciso da ajuda de vocês!
Remunerada é claro!
ja aviso que sou iniciante ,rs!
noob total 
Seguinte...
Estou construindo um marketplace com um tipo de usuário denominado entregador. 
O projeto já esta bem adiantado. 
Só que travei em uma parte aqui por eu ser programador de ""baixíssimo... Ver mais detalhes  nível"". 
Conto com ajuda de vocês. 
Na imagem ""1"" anexa aqui o código informa ao entregador o nome do destinatário. 
A questão é: 
Preciso exibir informações do ""vendedor"" do marketplace.
Como nome, endereço e telefone. 
Utilizo um plugin do wordpress com nome de ""marketplace"". 
Obs: Este plugin é interligado com o woocomerce  
Este plugin me mostra no administrador geral quem é o vendedor... O que preciso é exibir o nome desse vendedor dentro da área do entregador. 
Verifique na imagem 2 a visualização do nome do vendedor. 
Encontrei um código que provavelmente solucione este problema meu... Mas sou tão noob que não estou conseguindo. 
Vejam o código. 
<?Php global $WCMp,  $product; /* Tzvook 4 back-to-store link */
    $vendor = get_wcmp_product_vendors( $product->id );
    if( $vendor ) {
          $term_vendor = wp_get_post_terms( $product->id,  'dc_vendor_shop' );
          $html .= '<Div><a href=""' . $Vendor->permalink . '"">&Raquo; back to store: ' .    
$Vendor->user_data->display_name . '</a></div>';
          echo $html;        }  ?>  
Agradeço a atenção de todosCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Desenvolvedor de aplicativos,"Em poucas palavras, é um aplicativo de pesquisa baseada em localização e comparação de preços. O registro dos produtos seria feito pelos fornecedores e eles listariam o produto no painel.   Resumo: Aplicativo para encontrar os produtos próximos ao usuário e mostrar o preço mais baixo primeiro.... Ver mais detalhes   
Os fornecedores terão que se registrar e terão o painel de onde podem listar os produtos e removê-los. O usuário final / cliente fará a pesquisa de produtos e isso será baseado na localização.Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc), Outros (Outras APIs)Plataformas exigidas: Android, iPhone, iPad, Outro colapsar",R$ 2.700 - 5.000
Desenvolvimento sistema web,"Desenvolvimento de gerador de lances em pregão eletrônico baseado em dados previamente inseridos em planilha do Google PlanilhasCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente:... Ver mais detalhes  Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioExperiência nesse tipo de projeto: Não (Eu nunca gerenciei esse tipo de projeto)Integrações de API: Cloud Storage (Dropbox, Google Drive, etc)Funções necessárias: Desenvolvedor colapsar",R$ 1.400 - 2.700
Integrar os pagamentos da Hotmart ao Plugin Wishlist Member.,"Meu plugin de gerenciamento de alunos é estrangeiro, então aceita integração automática com Paypal e outros, mas estou trabalhando com a Hotmart e gostaria que houvesse integração entre a hotmart e ele ( Wishlits Member ) para caso um aluno cancele o pagamento, automaticamente ele perca acesso a... Ver mais detalhes  minha plataforma.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Desenvolvimento personalizadoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Payment Processor (Paypal, Stripe, etc) colapsar",R$ 1.400 - 2.700
Criar um App Webview para meu site com Pushs Notification,"Tenho uma plataforma de cursos EAD feito em codeigniter www.cerebro.fit que libera 1 aula por dia na hora que o cliente definiu em sua agenda para ajuda-lo a criar habitos. Quero transformar essa plataforma em APP webview e criar um sistema de push notifications para avisar os clientes 5 minutos... Ver mais detalhes  antes de cada treinamento do dia. 
Exemplo:
A pessoa colocou que quer meditar todo dia as 8 horas da manha.
Então todo dia o sistema vai enviar um push notification para ela as 7:55 dizendo: Hora de meditar! 
Tarefas:
1. Criar app android WEBVIEW
2.
Sistema de envio de pushs automaticamente 5 minutos antes de cada aula do dia. 
Os pushs tem que ter a logo do cerebrofit e um som de chamada especifico https://drive.google.com/file/d/1vw5cYWDUUd_KggahII2dEEcWobDCgsxN/view?usp=sharing https://drive.google.com/open?id=1xUA5_n51NT-cdK1L5BnNWsDkEfzR5cIb 
3. Criar no admin um sistema de busca de usuarios por categoria ou treinamento cadastrado para que eu possa e enviar push notifications em massa divulgando links especificos e ofertas ( marketing ) 
4. A relatorio para mostrar quantos pushs foram enviados em massa e quantos foram clicados no link
b.r
elatorio de pushs enviados por dia automaticamente pelo sistemaCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Seo front page,"Cofigurar SEO de SIte em wordpress com plugin Rank Match e com tema Newspaper by TAg Div.
Com palavras chaves . preciso de profissional que tenha experiencia na configuração desta plugin e temaCategoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?: Instalação de pluginIsso é... Ver mais detalhes  um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs) colapsar",R$ 270 - 500
Aplicativo de Descontos,"Precisamos desenvolver um aplicativo de descontos. 
Haverá níveis de usuários, cadastro, empresas, usuários que usufruem do desconto, 
O app tem duas versões: o vendedor porta a porta dos descontos e o usuário que faz o uso dos descontos. No vendedor ele principalmente vende uma licença para... Ver mais detalhes  emissão de descontos, e tem acesso a material de trabalho e lista de clientes e o usuário agenda, por meio do sistema, os descontos.  
Segue uma estrutura do painel (web) que se relaciona com os pontos acima. 
1.    Dashboard
2.    Cadastro de Corretoras
a.    Corretoras
b. 
Vendedores MEI
c.    Isso libera logins de vendedores para acesso ao sistema para que eles façam as contratações com os clientes (ponto 5)
3.    Cadastro de Convênios
a. 
Tela “Parceiro” – com os dados de parceiro e documentos 
b.    Assim que cadastrar convênios, libera para upload de Planilhas (ponto 6)
4.    Cadastro de PLANOS
a. 
Plano X (ilimitados planos)
i.    Nome, Para quem se aplica (5.a ou 5.b), Valor.
5.    Cadastro de Clientes
a.    PF – cadastro simples
b.    PJ
i. 
Pela pj, eu posso escolher a pj, com as diferenças de planos (pra pj bombeiros eu faço planos de 29,90, para a pj polícia eu faço de 39,90, por exemplo)
6.    Upload de Planilhas (alimenta o item 3 e alimenta a busca no app pelos clientes)
a.    Selecionar Convênio e depois faz o upload do arquivo XLSX
7. 
Gestão de Usuários (diretor, gerente, administrativo, com níveis de permissão)
8.    SairCategoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhone, OutroEu preciso: Criar um appTipo de aplicativo: Gerenciamento - Aplicativo para gerenciamento (turnos, estoque de mercadoria,etc)Precisa de back-end: SimGateway de pagamento: Sim colapsar",R$ 2.700 - 5.000
Desenvolvedor Android (Kotlin  / Flutter),"Desenvolvedor Android Kotlin para manutenção e evolução em um APP existente. Conhecimento em Flutter, mesmo que inicial, é interessante.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade... Ver mais detalhes  requerida: Período integralIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",Menos de R$ 50 / hora
Blog em Wordpress para publicação de conteúdo diario,"Preciso de desenvolver um blog para publicar conteúdo voltado para insumos de comércio e industria, além de dicas de venda online e MKT Digital. 
O tema precisa ser avançado e sóbrio pois o modelo sera principalmente b2b.Categoria: TI e ProgramaçãoSubcategoria: WordpressQual é o alcance do projeto?:... Ver mais detalhes  Instalação/Configuração de pacoteIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc) colapsar",R$ 500 - 1.400
Aplicativo Para Celular Google Play + Apple,"1-o aplicativo já  google já esta instalado, mas preciso que coloque dispositivos ou um dispositivo para que as pessoas recebam noticias das pessoas que já estejam cadastrados? 
2- você tambem faz aplicativo para apple, este eu não tenho nada.....Categoria: TI e ProgramaçãoSubcategoria:... Ver mais detalhes  ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor, Designer colapsar",R$ 500 - 1.400
Atendimento médico por telemedicina,"Plataforma de atendimento médico em aplicativo de celular e site. No site ou aplicativo de celular os usuários poderão agendar consultas médicas bem como fazer o próprio atendimento. A plataforma tem que obedecer as normas regulatórias de telemedicina bem com a lei de proteção de dados da internet.... Ver mais detalhes 
Já existem poucas plataformas no mercado que podem ser usadas como exemplo.Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPad, Windows Mobile, iPhoneEu preciso: Criar um appTipo de aplicativo: OutroApps similares: OutroPrecisa de back-end: SimGateway de pagamento: Sim colapsar",R$ 5.000 - 16.000
Aperfeiçoamento de um bot para nike,"EU preciso de um bot que compre produtos no site da nike com uma rapidez de questão de milesimos.Eu precisarei editar o tenis que quero ja que axistem lançamentos no site que esgotam com muita rapidez, esse é o motivo do bot. 
ja tenho um porem necessito do seu aperfeicoamento qualquer duvida pode... Ver mais detalhes  me chamar 
Preciso q seja algo Rapido (3 segundos estourando quase)Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Eu não sei aindaTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor, Designer colapsar",R$ 500 - 1.400
